Number of Records 	action description   	action 	action_description   	chapter 	order_id 	page 	source 	target
1                 	offer assistance     	9      	offer assistance     	1       	1        	     	10     	7
1                 	death_neutral        	24     	death_neutral        	1       	2        	     	10     	7
1                 	provide information  	10     	provide information  	1       	3        	     	11     	7
1                 	request assistance   	8      	request assistance   	2       	4        	     	9      	7
1                 	offer assistance     	9      	offer assistance     	2       	5        	     	7      	9
1                 	offer assistance     	9      	offer assistance     	2       	6        	     	9      	15
1                 	giftgiving           	13     	giftgiving           	3       	7        	     	19     	21
1                 	fostering            	3      	fostering            	3       	8        	     	9      	22
1                 	offer assistance     	9      	offer assistance     	4       	9        	440  	23     	24
1                 	provide information  	10     	provide information  	4       	10       	     	23     	24
1                 	request assistance   	8      	request assistance   	4       	11       	440  	24     	9
1                 	offer assistance     	9      	offer assistance     	4       	12       	     	24     	9
1                 	provide information  	10     	provide information  	4       	13       	     	24     	9
1                 	request assistance   	8      	request assistance   	5       	14       	441  	24     	25
1                 	request assistance   	8      	request assistance   	5       	15       	     	24     	22
1                 	request assistance   	8      	request assistance   	5       	16       	     	24     	25
1                 	request assistance   	8      	request assistance   	5       	17       	     	9      	26
1                 	request assistance   	8      	request assistance   	5       	18       	442  	9      	26
1                 	discover information 	11     	discover information 	5       	19       	     	26     	9
1                 	provide information  	10     	provide information  	5       	20       	442  	9      	22
1                 	accusation           	14     	accusation           	5       	21       	     	9      	24
1                 	hostility_lethal     	22     	hostility_lethal     	5       	22       	     	9      	24
1                 	hostility_lethal     	22     	hostility_lethal     	5       	23       	442  	9      	24
1                 	death_neutral        	24     	death_neutral        	5       	24       	     	9      	24
1                 	intervention         	19     	intervention         	6       	25       	443  	9      	23
1                 	challenge            	20     	challenge            	6       	26       	443  	23     	9
1                 	request assistance   	8      	request assistance   	6       	27       	444  	23     	18
1                 	placed in command    	7      	placed in command    	6       	28       	444  	18     	23
1                 	accusation           	14     	accusation           	7       	29       	     	18     	9
1                 	summons              	15     	summons              	7       	30       	     	18     	9
1                 	request assistance   	8      	request assistance   	8       	31       	     	18     	29
1                 	provide information  	10     	provide information  	8       	32       	     	29     	15
1                 	provide information  	10     	provide information  	9       	33       	     	29     	18
1                 	hostility_non-lethal 	21     	hostility_non-lethal 	9       	34       	     	23     	31
1                 	intervention         	19     	intervention         	9       	35       	     	29     	31
1                 	offer assistance     	9      	offer assistance     	9       	36       	     	31     	29
1                 	provide information  	10     	provide information  	10      	37       	452  	18     	31
1                 	provide information  	10     	provide information  	10      	37       	452  	18     	31
1                 	provide information  	10     	provide information  	10      	38       	452  	18     	31
1                 	provide information  	10     	provide information  	10      	38       	452  	18     	31
1                 	accusation           	14     	accusation           	10      	39       	450  	18     	9
1                 	hostility_non-lethal 	21     	hostility_non-lethal 	10      	40       	450  	18     	9
1                 	request assistance   	8      	request assistance   	10      	41       	452  	31     	18
1                 	provide information  	10     	provide information  	10      	42       	451  	31     	18
1                 	placed in command    	7      	placed in command    	11      	43       	453  	9      	18
1                 	request assistance   	8      	request assistance   	11      	44       	452  	9      	29
1                 	threat               	18     	threat               	11      	45       	452  	29     	9
1                 	hostility_non-lethal 	21     	hostility_non-lethal 	11      	46       	452  	29     	9
1                 	insult               	17     	insult               	11      	47       	453  	31     	9
1                 	hostility_non-lethal 	21     	hostility_non-lethal 	11      	48       	453  	31     	9
1                 	provide information  	10     	provide information  	11      	49       	453  	31     	18
1                 	provide information  	10     	provide information  	11      	50       	454  	29     	18
1                 	insult               	17     	insult               	11      	51       	453  	18     	9
1                 	hostility_non-lethal 	21     	hostility_non-lethal 	11      	52       	453  	18     	9
1                 	provide information  	10     	provide information  	12      	53       	454  	29     	18
1                 	summons              	15     	summons              	12      	54       	454  	31     	22
1                 	giftgiving           	13     	giftgiving           	12      	55       	455  	18     	31
1                 	provide information  	10     	provide information  	12      	55       	454  	31     	18
1                 	summons              	15     	summons              	12      	56       	454  	29     	22
1                 	giftgiving           	13     	giftgiving           	12      	57       	455  	18     	29
1                 	giftgiving           	13     	giftgiving           	12      	58       	455  	18     	23
1                 	conversation_neutral 	23     	conversation_neutral 	13      	59       	456  	9      	18
1                 	conversation_neutral 	23     	conversation_neutral 	13      	60       	456  	18     	9
1                 	invitation           	12     	invitation           	14      	61       	456  	18     	19
1                 	giftgiving           	13     	giftgiving           	14      	62       	460  	18     	19
1                 	offer assistance     	9      	offer assistance     	14      	63       	456  	19     	35
1                 	insult               	17     	insult               	14      	64       	457  	36     	9
