Number of Records 	chapter 	gender description 	gender 	id 	label                            	page
1                 	1       	male               	1      	1  	King Harald Fair-Hair            	438
1                 	1       	male               	1      	2  	Halfdan the Black                	438
1                 	1       	male               	1      	3  	Gudrod the Hunting King          	438
1                 	1       	male               	1      	4  	Halfdan the Mild and Meal-stingy 	438
1                 	1       	male               	1      	5  	Eystein Fart                     	438
1                 	1       	male               	1      	6  	Olaf Wood-carver                 	438
1                 	1       	male               	1      	7  	Hallfred                         	438
1                 	1       	female             	0      	8  	Wife of Hallfred                 	438
1                 	1       	male               	1      	9  	Hrafnkel                         	438
1                 	1       	female             	0      	10 	Arnthrud                         	438
1                 	1       	male               	1      	11 	man                              	438
1                 	2       	female             	0      	12 	Oddbjorg Skjoldalfsdottir        	439
1                 	2       	male               	1      	13 	Thorir                           	439
1                 	2       	male               	1      	14 	Asbjorn                          	439
1                 	2       	other              	2      	15 	Frey                             	439
1                 	3       	male               	1      	16 	Bjarni                           	439
1                 	        	female             	0      	17 	Bjarni's wife                    	
1                 	3       	male               	1      	18 	Sam                              	439
1                 	        	male               	1      	19 	Eyvind                           	
1                 	3       	female             	0      	20 	Sam's wife                       	439
1                 	        	male               	1      	21 	king of Greeks                   	
1                 	        	other              	2      	22 	Freyfaxi                         	
1                 	4       	male               	1      	23 	Thorbjorn                        	440
1                 	4       	male               	1      	24 	Einar                            	440
1                 	        	male               	1      	25 	shepherds                        	
1                 	        	male               	1      	26 	mealtime servant                 	
1                 	        	female             	0      	27 	milking women                    	
1                 	        	male               	1      	28 	new shepherd                     	
1                 	8       	male               	1      	29 	Thorkel                          	446
1                 	        	male               	1      	30 	Thjostar                         	
1                 	8       	male               	1      	31 	Thorgeir                         	447
1                 	8       	male               	1      	32 	Thormod                          	447
1                 	8       	male               	1      	33 	Thordis                          	447
1                 	8       	male               	1      	34 	Thorolf Skallagrimson            	447
1                 	14      	male               	1      	35 	Eyvind's servant boy             	456
1                 	14      	female             	0      	36 	Servant woman                    	457
1                 	14      	male               	1      	37 	Sighvat                          	457
1                 	14      	male               	1      	38 	Snorri                           	457
1                 	        	male               	1      	39 	Hallstein                        	
1                 	        	male               	1      	40 	Hrolf                            	
1                 	14      	male               	1      	41 	Thord                            	457
1                 	14      	male               	1      	42 	Halli                            	457
1                 	        	female             	0      	43 	Housekeeper                      	
