,person_id,source,chapter_source,page_source,person_name,target,chapter_target,page_target,id_source2,id_target2
0,7,117,0,,Hallfred,35,1,,117,35
1,7,35,1,,Hallfred,36,1,,35,36
2,7,36,1,,Hallfred,37,1,,36,37
3,7,37,1,,Hallfred,6,2,,37,6
4,7,6,2,,Hallfred,15,2,,6,15
5,7,15,2,,Hallfred,140,17,,15,140
6,9,118,0,,Hrafnkel,15,2,,118,15
7,9,15,2,,Hrafnkel,19,2,,15,19
8,9,19,2,,Hrafnkel,6,2,,19,6
9,9,6,2,,Hrafnkel,11,3,,6,11
10,9,11,3,,Hrafnkel,81,4,,11,81
11,9,81,4,,Hrafnkel,82,4,,81,82
12,9,82,4,,Hrafnkel,77,4,440,82,77
13,9,77,4,440,Hrafnkel,16,5,,77,16
14,9,16,5,,Hrafnkel,21,5,,16,21
15,9,21,5,,Hrafnkel,29,5,,21,29
16,9,29,5,,Hrafnkel,33,5,,29,33
17,9,33,5,,Hrafnkel,83,5,,33,83
18,9,83,5,,Hrafnkel,17,5,442,83,17
19,9,17,5,442,Hrafnkel,20,5,442,17,20
20,9,20,5,442,Hrafnkel,30,5,442,20,30
21,9,30,5,442,Hrafnkel,26,6,443,30,26
22,9,26,6,443,Hrafnkel,75,6,443,26,75
23,9,75,6,443,Hrafnkel,60,7,,75,60
24,9,60,7,,Hrafnkel,62,7,,60,62
25,9,62,7,,Hrafnkel,61,10,450,62,61
26,9,61,10,450,Hrafnkel,64,10,450,61,64
27,9,64,10,450,Hrafnkel,18,11,452,64,18
28,9,18,11,452,Hrafnkel,92,11,452,18,92
29,9,92,11,452,Hrafnkel,94,11,452,92,94
30,9,94,11,452,Hrafnkel,14,11,453,94,14
31,9,14,11,453,Hrafnkel,63,11,453,14,63
32,9,63,11,453,Hrafnkel,65,11,453,63,65
33,9,65,11,453,Hrafnkel,107,11,453,65,107
34,9,107,11,453,Hrafnkel,108,11,453,107,108
35,9,108,11,453,Hrafnkel,32,13,456,108,32
36,9,32,13,456,Hrafnkel,67,13,456,32,67
37,9,67,13,456,Hrafnkel,22,14,457,67,22
38,9,22,14,457,Hrafnkel,23,14,457,22,23
39,9,23,14,457,Hrafnkel,24,14,457,23,24
40,9,24,14,457,Hrafnkel,25,14,457,24,25
41,9,25,14,457,Hrafnkel,116,14,457,25,116
42,9,116,14,457,Hrafnkel,28,14,459,116,28
43,9,28,14,459,Hrafnkel,31,14,459,28,31
44,9,31,14,459,Hrafnkel,66,14,459,31,66
45,9,66,14,459,Hrafnkel,27,15,460,66,27
46,9,27,15,460,Hrafnkel,12,16,,27,12
47,9,12,16,,Hrafnkel,13,16,,12,13
48,9,13,16,,Hrafnkel,34,16,462,13,34
49,9,34,16,462,Hrafnkel,34,16,462,34,34
50,9,34,16,462,Hrafnkel,141,17,,34,141
51,10,119,0,,Arnthrud,35,1,,119,35
52,10,35,1,,Arnthrud,36,1,,35,36
53,10,36,1,,Arnthrud,142,17,,36,142
54,11,120,0,,man,37,1,,120,37
55,11,37,1,,man,143,17,,37,143
56,13,131,0,,Thorir,12,16,,131,12
57,13,12,16,,Thorir,154,17,,12,154
58,14,132,0,,Asbjorn,13,16,,132,13
59,14,13,16,,Asbjorn,155,17,,13,155
60,15,133,0,,Frey,19,2,,133,19
61,15,19,2,,Frey,86,8,,19,86
62,15,86,8,,Frey,156,17,,86,156
63,18,121,0,,Sam,48,6,444,121,48
64,18,48,6,444,Sam,72,6,444,48,72
65,18,72,6,444,Sam,60,7,,72,60
66,18,60,7,,Sam,62,7,,60,62
67,18,62,7,,Sam,49,8,,62,49
68,18,49,8,,Sam,87,9,,49,87
69,18,87,9,,Sam,61,10,450,87,61
70,18,61,10,450,Sam,64,10,450,61,64
71,18,64,10,450,Sam,101,10,451,64,101
72,18,101,10,451,Sam,51,10,452,101,51
73,18,51,10,452,Sam,52,10,452,51,52
74,18,52,10,452,Sam,99,10,452,52,99
75,18,99,10,452,Sam,63,11,453,99,63
76,18,63,11,453,Sam,65,11,453,63,65
77,18,65,11,453,Sam,14,11,453,65,14
78,18,14,11,453,Sam,102,11,453,14,102
79,18,102,11,453,Sam,88,11,454,102,88
80,18,88,11,454,Sam,89,12,454,88,89
81,18,89,12,454,Sam,103,12,454,89,103
82,18,103,12,454,Sam,54,12,455,103,54
83,18,54,12,455,Sam,55,12,455,54,55
